80 47
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 
54 29 65 40 69 37 41 16 45 46 52 76 49 56 23 78 53 27 57 58 31 32 61 62 67 35 80 64 70 39 22 68 43 44 71 72 47 48 4 74 77 51 34 75 10 55 38 8 59 60 11 79 1 63 14 15 20 66 50 18 24 2 21 3 73 25 26 5 6 30 36 7 33 9 12 13 42 17 19 28 
55 63 66 68 2 70 73 74 6 47 75 7 77 8 78 9 10 79 13 59 15 61 17 1 18 80 19 20 21 22 23 24 26 71 28 3 30 4 32 5 33 34 35 36 37 38 39 40 42 11 44 12 46 14 48 16 49 50 51 52 53 54 56 58 25 60 27 62 29 31 64 65 67 69 72 41 43 45 76 57 
56 31 67 69 70 39 43 45 47 48 76 77 51 78 53 10 55 57 59 60 61 62 1 63 80 64 20 66 22 68 24 2 71 72 3 73 4 74 5 6 34 75 36 7 38 8 40 9 11 79 12 13 14 15 16 17 50 18 52 19 54 21 23 25 26 27 28 29 30 32 65 33 35 37 41 42 44 46 49 58 
57 76 62 43 71 72 53 67 80 64 48 74 45 59 60 11 79 39 68 69 77 51 34 75 63 31 15 61 3 73 25 26 55 56 8 78 20 66 50 18 6 47 30 4 12 13 41 42 2 70 21 22 36 7 65 33 17 1 46 14 27 28 58 9 10 37 38 52 19 49 32 5 29 44 23 24 54 35 16 40 
58 49 29 44 72 41 54 35 64 65 16 45 46 60 27 79 57 40 69 37 51 52 75 76 31 32 61 62 73 43 26 71 56 23 78 53 66 67 18 80 47 48 4 74 13 59 42 11 70 39 22 68 7 77 33 34 1 63 14 15 28 3 25 10 55 38 8 19 20 50 5 6 30 12 24 2 21 36 17 9 
59 77 63 71 3 73 55 80 20 66 74 6 47 11 79 12 13 68 2 70 34 75 36 7 15 61 17 1 25 26 27 28 8 78 9 10 50 18 52 19 30 4 32 5 41 42 43 44 21 22 23 24 65 33 67 35 46 14 48 16 57 58 60 37 38 39 40 76 49 51 62 29 31 72 53 54 56 64 45 69 
60 51 31 72 73 43 56 64 66 67 45 47 48 79 57 13 59 69 70 39 75 76 7 77 61 62 1 63 26 71 28 3 78 53 10 55 18 80 19 20 4 74 5 6 42 11 44 12 22 68 24 2 33 34 35 36 14 15 16 17 58 25 27 38 8 40 9 49 50 52 29 30 32 41 54 21 23 65 46 37 
61 68 71 47 4 74 75 55 8 78 59 11 79 1 63 14 15 66 18 80 2 70 21 22 3 73 25 26 5 6 29 30 7 77 33 34 9 10 37 38 12 13 41 42 16 17 45 46 19 20 49 50 23 24 53 54 27 28 57 58 31 32 62 35 36 64 65 39 40 69 43 44 72 48 51 52 76 56 60 67 
62 69 72 48 74 45 76 56 78 53 60 79 57 63 31 15 61 67 80 64 70 39 22 68 73 43 26 71 6 47 30 4 77 51 34 75 10 55 38 8 13 59 42 11 17 1 46 14 20 66 50 18 24 2 54 21 28 3 58 25 32 5 29 36 7 65 33 40 9 37 44 12 41 16 52 19 49 23 27 35 
63 70 73 74 6 47 77 78 10 55 79 13 59 15 61 17 1 80 20 66 22 68 24 2 26 71 28 3 30 4 32 5 34 75 36 7 38 8 40 9 42 11 44 12 46 14 48 16 50 18 52 19 54 21 56 23 58 25 60 27 62 29 31 65 33 67 35 69 37 39 72 41 43 45 76 49 51 53 57 64 
64 57 69 51 75 76 62 43 71 72 56 78 53 66 67 18 80 48 74 45 59 60 11 79 70 39 22 68 7 77 33 34 63 31 15 61 3 73 25 26 10 55 38 8 19 20 49 50 6 47 30 4 12 13 41 42 24 2 54 21 35 36 65 17 1 46 14 27 28 58 40 9 37 52 32 5 29 44 23 16 
65 58 37 52 76 49 29 44 72 41 23 53 54 67 35 80 64 16 45 46 60 27 79 57 39 40 68 69 77 51 34 75 31 32 61 62 73 43 26 71 55 56 8 78 20 66 50 18 47 48 4 74 13 59 42 11 2 70 21 22 36 7 33 1 63 14 15 28 3 25 9 10 38 19 5 6 30 12 24 17 
66 59 70 75 7 77 63 71 3 73 78 10 55 18 80 19 20 74 6 47 11 79 12 13 22 68 24 2 33 34 35 36 15 61 17 1 25 26 27 28 38 8 40 9 49 50 51 52 30 4 32 5 41 42 43 44 54 21 56 23 64 65 67 46 14 48 16 57 58 60 69 37 39 76 62 29 31 72 53 45 
67 60 39 76 77 51 31 72 73 43 53 55 56 80 64 20 66 45 47 48 79 57 13 59 68 69 2 70 34 75 36 7 61 62 1 63 26 71 28 3 8 78 9 10 50 18 52 19 4 74 5 6 42 11 44 12 21 22 23 24 65 33 35 14 15 16 17 58 25 27 37 38 40 49 29 30 32 41 54 46 
68 74 75 55 8 78 79 63 15 61 66 18 80 2 70 21 22 73 26 71 6 47 30 4 7 77 33 34 9 10 37 38 13 59 42 11 17 1 46 14 19 20 49 50 23 24 53 54 28 3 58 25 32 5 62 29 35 36 64 65 39 40 69 44 12 72 41 48 16 45 51 52 76 56 60 27 57 31 67 43 
69 45 76 56 78 53 57 31 61 62 67 80 64 70 39 22 68 43 71 72 47 48 4 74 77 51 34 75 10 55 38 8 59 60 11 79 1 63 14 15 20 66 50 18 24 2 54 21 3 73 25 26 5 6 29 30 36 7 65 33 40 9 37 12 13 41 42 16 17 46 52 19 49 23 27 28 58 32 35 44 
70 47 77 78 10 55 59 61 1 63 80 20 66 22 68 24 2 71 3 73 4 74 5 6 34 75 36 7 38 8 40 9 11 79 12 13 14 15 16 17 50 18 52 19 54 21 56 23 25 26 27 28 29 30 31 32 65 33 67 35 69 37 39 41 42 43 44 45 46 48 76 49 51 53 57 58 60 62 64 72 
71 80 74 59 11 79 68 77 34 75 63 15 61 3 73 25 26 55 8 78 20 66 50 18 6 47 30 4 12 13 41 42 2 70 21 22 36 7 65 33 17 1 46 14 27 28 57 58 9 10 37 38 52 19 76 49 32 5 62 29 43 44 72 23 24 53 54 67 35 64 48 16 45 60 39 40 69 51 31 56 
72 64 45 60 79 57 69 51 75 76 31 61 62 73 43 26 71 56 78 53 66 67 18 80 47 48 4 74 13 59 42 11 70 39 22 68 7 77 33 34 1 63 14 15 28 3 58 25 10 55 38 8 19 20 49 50 5 6 29 30 44 12 41 24 2 54 21 35 36 65 16 17 46 27 40 9 37 52 32 23 
73 66 47 79 13 59 70 75 7 77 61 1 63 26 71 28 3 78 10 55 18 80 19 20 4 74 5 6 42 11 44 12 22 68 24 2 33 34 35 36 14 15 16 17 58 25 60 27 38 8 40 9 49 50 51 52 29 30 31 32 72 41 43 54 21 56 23 64 65 67 45 46 48 57 69 37 39 76 62 53 
74 78 79 63 15 61 80 70 22 68 73 26 71 6 47 30 4 77 34 75 10 55 38 8 13 59 42 11 17 1 46 14 20 66 50 18 24 2 54 21 28 3 58 25 32 5 62 29 36 7 65 33 40 9 69 37 44 12 72 41 48 16 45 52 19 76 49 56 23 53 60 27 57 31 67 35 64 39 43 51 
75 71 78 66 18 80 74 59 11 79 70 22 68 7 77 33 34 63 15 61 3 73 25 26 10 55 38 8 19 20 49 50 6 47 30 4 12 13 41 42 24 2 54 21 35 36 64 65 17 1 46 14 27 28 57 58 40 9 69 37 51 52 76 32 5 62 29 43 44 72 56 23 53 67 48 16 45 60 39 31 
76 72 53 67 80 64 45 60 79 57 39 68 69 77 51 34 75 31 61 62 73 43 26 71 55 56 8 78 20 66 50 18 47 48 4 74 13 59 42 11 2 70 21 22 36 7 65 33 1 63 14 15 28 3 58 25 9 10 37 38 52 19 49 5 6 29 30 44 12 41 23 24 54 35 16 17 46 27 40 32 
77 73 55 80 20 66 47 79 13 59 68 2 70 34 75 36 7 61 1 63 26 71 28 3 8 78 9 10 50 18 52 19 4 74 5 6 42 11 44 12 21 22 23 24 65 33 67 35 14 15 16 17 58 25 60 27 37 38 39 40 76 49 51 29 30 31 32 72 41 43 53 54 56 64 45 46 48 57 69 62 
78 61 80 70 22 68 71 47 4 74 77 34 75 10 55 38 8 59 11 79 1 63 14 15 20 66 50 18 24 2 54 21 3 73 25 26 5 6 29 30 36 7 65 33 40 9 69 37 12 13 41 42 16 17 45 46 52 19 76 49 56 23 53 27 28 57 58 31 32 62 67 35 64 39 43 44 72 48 51 60 
79 75 61 73 26 71 78 66 18 80 47 4 74 13 59 42 11 70 22 68 7 77 33 34 1 63 14 15 28 3 58 25 10 55 38 8 19 20 49 50 5 6 29 30 44 12 72 41 24 2 54 21 35 36 64 65 16 17 45 46 60 27 57 40 9 69 37 51 52 76 31 32 62 43 56 23 53 67 48 39 
80 79 68 77 34 75 61 73 26 71 55 8 78 20 66 50 18 47 4 74 13 59 42 11 2 70 21 22 36 7 65 33 1 63 14 15 28 3 58 25 9 10 37 38 52 19 76 49 5 6 29 30 44 12 72 41 23 24 53 54 67 35 64 16 17 45 46 60 27 57 39 40 69 51 31 32 62 43 56 48 
