84 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
51 71 63 64 65 79 59 44 73 74 75 76 37 83 70 56 31 58 8 80 81 82 49 50 24 78 67 43 69 45 16 17 18 84 61 62 36 13 4 55 77 57 27 28 29 30 2 72 48 23 10 1 12 68 39 40 41 42 6 7 60 35 20 3 22 5 52 53 54 14 15 47 32 9 34 11 66 25 26 19 46 21 38 33 
52 47 64 39 66 59 60 19 74 51 76 53 38 70 71 31 32 33 80 63 82 65 50 25 78 79 43 44 45 46 17 73 84 75 62 37 13 83 55 56 57 58 28 8 30 81 72 49 23 24 1 67 68 69 40 16 42 18 7 61 35 36 3 4 5 77 27 54 29 15 2 48 9 10 11 12 41 26 6 20 21 22 14 34 
53 46 65 66 25 58 33 60 75 76 37 38 39 69 45 71 47 32 81 82 49 50 51 52 77 57 79 59 44 19 18 84 61 62 63 64 12 68 83 70 56 31 29 30 2 72 73 74 22 5 24 78 67 43 41 42 6 7 8 80 34 11 36 13 4 55 54 14 15 16 17 21 48 23 10 1 26 27 28 35 20 3 40 9 
54 21 66 41 26 33 34 35 76 53 38 14 40 45 46 47 48 9 82 65 50 25 52 27 57 58 59 60 19 20 84 75 62 37 64 39 68 69 70 71 31 32 30 81 72 49 74 51 5 77 78 79 43 44 42 18 7 61 80 63 11 12 13 83 55 56 29 15 2 17 73 22 23 24 1 67 6 28 8 36 3 4 16 10 
55 61 1 67 68 2 72 73 3 4 5 77 78 6 7 8 80 81 9 10 11 12 13 83 14 15 16 17 18 84 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 62 63 64 65 66 69 70 71 74 75 76 79 82 
56 62 67 43 69 72 49 74 4 55 77 57 79 7 61 80 63 82 10 1 12 68 83 70 15 2 17 73 84 75 20 3 22 5 24 78 26 6 28 8 30 81 32 9 34 11 36 13 38 14 40 16 42 18 44 19 46 21 48 23 50 25 52 27 54 29 31 58 33 60 35 37 64 39 66 41 45 71 47 51 76 53 59 65 
57 75 68 69 70 81 82 49 5 77 78 79 43 18 84 61 62 63 11 12 13 83 55 56 29 30 2 72 73 74 21 22 23 24 1 67 41 42 6 7 8 80 33 34 35 36 3 4 53 54 14 15 16 17 45 46 47 48 9 10 65 66 25 26 27 28 58 59 60 19 20 76 37 38 39 40 71 31 32 50 51 52 44 64 
58 76 69 45 71 82 65 50 77 57 79 59 44 84 75 62 37 64 12 68 83 70 56 31 30 81 72 49 74 51 22 5 24 78 67 43 42 18 7 61 80 63 34 11 36 13 4 55 54 29 15 2 17 73 46 21 48 23 10 1 66 41 26 6 28 8 33 60 35 20 3 53 38 14 40 16 47 32 9 25 52 27 19 39 
59 51 70 71 31 63 64 65 78 79 43 44 45 73 74 75 76 37 13 83 55 56 57 58 8 80 81 82 49 50 23 24 1 67 68 69 16 17 18 84 61 62 35 36 3 4 5 77 27 28 29 30 2 72 47 48 9 10 11 12 39 40 41 42 6 7 60 19 20 21 22 52 53 54 14 15 32 33 34 66 25 26 46 38 
60 52 71 47 32 64 39 66 79 59 44 19 46 74 51 76 53 38 83 70 56 31 58 33 80 63 82 65 50 25 24 78 67 43 69 45 17 73 84 75 62 37 36 13 4 55 77 57 28 8 30 81 72 49 48 23 10 1 12 68 40 16 42 18 7 61 35 20 3 22 5 27 54 29 15 2 9 34 11 41 26 6 21 14 
