100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
51 14 37 3 69 7 26 27 1 56 9 10 83 16 17 42 43 44 4 5 73 19 20 21 93 29 30 31 60 61 62 63 11 12 13 86 33 34 35 36 99 46 47 48 49 6 76 77 78 79 22 23 24 25 95 52 53 54 55 2 65 66 67 68 15 88 89 90 38 39 40 41 70 71 72 8 80 81 82 28 96 97 57 58 59 84 85 18 91 92 45 100 74 75 94 32 98 64 87 50 
52 90 38 69 70 82 97 26 56 57 10 83 84 92 16 100 42 43 5 73 74 20 21 93 94 98 29 30 64 60 61 62 12 13 86 87 34 35 36 99 33 50 46 47 48 79 6 76 77 78 23 24 25 95 22 53 54 55 51 68 2 65 66 67 14 15 88 89 39 40 41 37 71 72 3 7 8 80 81 27 28 96 58 59 1 85 9 17 18 91 44 45 75 4 19 31 32 63 11 49 
53 89 39 70 71 81 96 97 57 58 83 84 85 91 92 45 100 42 73 74 75 21 93 94 19 32 98 29 63 64 60 61 13 86 87 11 35 36 99 33 34 49 50 46 47 78 79 6 76 77 24 25 95 22 23 54 55 51 52 67 68 2 65 66 90 14 15 88 40 41 37 38 72 3 69 82 7 8 80 26 27 28 59 1 56 9 10 16 17 18 43 44 4 5 20 30 31 62 12 48 
54 88 40 71 72 80 28 96 58 59 84 85 9 18 91 44 45 100 74 75 4 93 94 19 20 31 32 98 62 63 64 60 86 87 11 12 36 99 33 34 35 48 49 50 46 77 78 79 6 76 25 95 22 23 24 55 51 52 53 66 67 68 2 65 89 90 14 15 41 37 38 39 3 69 70 81 82 7 8 97 26 27 1 56 57 10 83 92 16 17 42 43 5 73 21 29 30 61 13 47 
55 15 41 72 3 8 27 28 59 1 85 9 10 17 18 43 44 45 75 4 5 94 19 20 21 30 31 32 61 62 63 64 87 11 12 13 99 33 34 35 36 47 48 49 50 76 77 78 79 6 95 22 23 24 25 51 52 53 54 65 66 67 68 2 88 89 90 14 37 38 39 40 69 70 71 80 81 82 7 96 97 26 56 57 58 83 84 91 92 16 100 42 73 74 93 98 29 60 86 46 
56 68 69 5 73 79 82 7 10 83 12 13 86 90 14 92 16 17 20 21 93 23 24 25 95 97 26 27 98 29 30 31 34 35 36 99 38 39 40 41 37 100 42 43 44 50 46 47 48 49 52 53 54 55 51 57 58 59 1 64 60 61 62 63 2 65 66 67 70 71 72 3 74 75 4 6 76 77 78 8 80 81 84 85 9 87 11 15 88 89 18 91 94 19 22 28 96 32 33 45 
57 67 70 73 74 78 81 82 83 84 13 86 87 89 90 91 92 16 21 93 94 24 25 95 22 96 97 26 32 98 29 30 35 36 99 33 39 40 41 37 38 45 100 42 43 49 50 46 47 48 53 54 55 51 52 58 59 1 56 63 64 60 61 62 68 2 65 66 71 72 3 69 75 4 5 79 6 76 77 7 8 80 85 9 10 11 12 14 15 88 17 18 19 20 23 27 28 31 34 44 
58 66 71 74 75 77 80 81 84 85 86 87 11 88 89 18 91 92 93 94 19 25 95 22 23 28 96 97 31 32 98 29 36 99 33 34 40 41 37 38 39 44 45 100 42 48 49 50 46 47 54 55 51 52 53 59 1 56 57 62 63 64 60 61 67 68 2 65 72 3 69 70 4 5 73 78 79 6 76 82 7 8 9 10 83 12 13 90 14 15 16 17 20 21 24 26 27 30 35 43 
59 65 72 75 4 76 8 80 85 9 87 11 12 15 88 17 18 91 94 19 20 95 22 23 24 27 28 96 30 31 32 98 99 33 34 35 41 37 38 39 40 43 44 45 100 47 48 49 50 46 55 51 52 53 54 1 56 57 58 61 62 63 64 60 66 67 68 2 3 69 70 71 5 73 74 77 78 79 6 81 82 7 10 83 84 13 86 89 90 14 92 16 21 93 25 97 26 29 36 42 
60 4 46 6 76 9 11 12 2 65 14 15 88 19 20 22 23 24 7 8 80 26 27 28 96 33 34 35 37 38 39 40 16 17 18 91 42 43 44 45 100 51 52 53 54 1 56 57 58 59 29 30 31 32 98 61 62 63 64 3 69 70 71 72 5 73 74 75 47 48 49 50 77 78 79 10 83 84 85 13 86 87 66 67 68 89 90 21 93 94 25 95 81 82 97 36 99 41 92 55 
