88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
49 61 43 42 57 55 54 69 36 51 50 65 48 63 62 77 44 59 58 73 56 71 70 84 52 67 66 81 64 79 78 88 60 75 74 87 72 86 85 13 68 83 82 9 80 7 6 21 76 4 3 17 2 15 14 29 1 11 10 25 8 23 22 37 5 19 18 33 16 31 30 45 12 27 26 41 24 39 38 53 20 35 34 32 47 46 28 40 
50 46 44 57 58 40 53 54 51 52 65 66 47 48 61 62 59 60 73 74 55 56 69 70 67 68 81 82 63 64 77 78 75 76 87 3 71 72 84 85 83 1 9 10 79 80 88 6 4 5 17 18 86 2 13 14 11 12 25 26 7 8 21 22 19 20 33 34 15 16 29 30 27 28 41 42 23 24 37 38 35 36 49 31 32 45 43 39 
51 47 57 44 59 53 40 55 50 65 52 67 46 61 48 63 58 73 60 75 54 69 56 71 66 81 68 83 62 77 64 79 74 87 76 4 70 84 72 86 82 9 1 11 78 88 80 7 3 17 5 19 85 13 2 15 10 25 12 27 6 21 8 23 18 33 20 35 14 29 16 31 26 41 28 43 22 37 24 39 34 49 36 30 45 32 42 38 
52 32 58 59 60 38 39 40 65 66 67 68 45 46 47 48 73 74 75 76 53 54 55 56 81 82 83 1 61 62 63 64 87 3 4 5 69 70 71 72 9 10 11 12 77 78 79 80 17 18 19 20 84 85 86 2 25 26 27 28 88 6 7 8 33 34 35 36 13 14 15 16 41 42 43 44 21 22 23 24 49 50 51 29 30 31 57 37 
53 57 47 46 61 51 50 65 40 55 54 69 44 59 58 73 48 63 62 77 52 67 66 81 56 71 70 84 60 75 74 87 64 79 78 88 68 83 82 9 72 86 85 13 76 4 3 17 80 7 6 21 1 11 10 25 2 15 14 29 5 19 18 33 8 23 22 37 12 27 26 41 16 31 30 45 20 35 34 49 24 39 38 28 43 42 32 36 
54 42 48 61 62 36 49 50 55 56 69 70 43 44 57 58 63 64 77 78 51 52 65 66 71 72 84 85 59 60 73 74 79 80 88 6 67 68 81 82 86 2 13 14 75 76 87 3 7 8 21 22 83 1 9 10 15 16 29 30 4 5 17 18 23 24 37 38 11 12 25 26 31 32 45 46 19 20 33 34 39 40 53 27 28 41 47 35 
55 43 61 48 63 49 36 51 54 69 56 71 42 57 44 59 62 77 64 79 50 65 52 67 70 84 72 86 58 73 60 75 78 88 80 7 66 81 68 83 85 13 2 15 74 87 76 4 6 21 8 23 82 9 1 11 14 29 16 31 3 17 5 19 22 37 24 39 10 25 12 27 30 45 32 47 18 33 20 35 38 53 40 26 41 28 46 34 
56 28 62 63 64 34 35 36 69 70 71 72 41 42 43 44 77 78 79 80 49 50 51 52 84 85 86 2 57 58 59 60 88 6 7 8 65 66 67 68 13 14 15 16 73 74 75 76 21 22 23 24 81 82 83 1 29 30 31 32 87 3 4 5 37 38 39 40 9 10 11 12 45 46 47 48 17 18 19 20 53 54 55 25 26 27 61 33 
57 53 51 50 65 47 46 61 44 59 58 73 40 55 54 69 52 67 66 81 48 63 62 77 60 75 74 87 56 71 70 84 68 83 82 9 64 79 78 88 76 4 3 17 72 86 85 13 1 11 10 25 80 7 6 21 5 19 18 33 2 15 14 29 12 27 26 41 8 23 22 37 20 35 34 49 16 31 30 45 28 43 42 24 39 38 36 32 
58 38 52 65 66 32 45 46 59 60 73 74 39 40 53 54 67 68 81 82 47 48 61 62 75 76 87 3 55 56 69 70 83 1 9 10 63 64 77 78 4 5 17 18 71 72 84 85 11 12 25 26 79 80 88 6 19 20 33 34 86 2 13 14 27 28 41 42 7 8 21 22 35 36 49 50 15 16 29 30 43 44 57 23 24 37 51 31 
59 39 65 52 67 45 32 47 58 73 60 75 38 53 40 55 66 81 68 83 46 61 48 63 74 87 76 4 54 69 56 71 82 9 1 11 62 77 64 79 3 17 5 19 70 84 72 86 10 25 12 27 78 88 80 7 18 33 20 35 85 13 2 15 26 41 28 43 6 21 8 23 34 49 36 51 14 29 16 31 42 57 44 22 37 24 50 30 
60 24 66 67 68 30 31 32 73 74 75 76 37 38 39 40 81 82 83 1 45 46 47 48 87 3 4 5 53 54 55 56 9 10 11 12 61 62 63 64 17 18 19 20 69 70 71 72 25 26 27 28 77 78 79 80 33 34 35 36 84 85 86 2 41 42 43 44 88 6 7 8 49 50 51 52 13 14 15 16 57 58 59 21 22 23 65 29 
