70 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 
56 42 62 63 51 52 30 67 68 16 59 60 39 40 70 17 24 25 65 66 48 49 50 26 27 33 34 35 69 13 57 58 2 36 37 43 44 45 21 22 64 5 6 46 47 53 54 1 31 32 10 11 12 55 61 3 4 41 18 19 20 7 8 9 28 29 14 15 38 23 
57 23 63 64 32 33 67 68 10 41 42 43 40 70 17 18 9 51 52 53 49 50 26 27 28 15 16 59 60 61 58 2 36 37 38 24 25 65 66 7 5 6 46 47 48 34 35 69 13 14 11 12 55 56 44 45 21 22 19 20 62 54 1 31 29 30 3 4 39 8 
58 8 64 5 14 15 68 10 11 22 23 24 70 17 18 19 31 32 33 34 50 26 27 28 29 4 41 42 43 44 2 36 37 38 39 9 51 52 53 54 6 46 47 48 49 16 59 60 61 3 12 55 56 57 25 65 66 7 20 62 63 35 69 13 30 67 45 21 40 1 
59 55 25 65 20 62 34 35 69 29 30 67 43 44 45 21 38 39 40 70 52 53 54 1 31 47 48 49 50 26 60 61 3 4 41 56 57 58 2 36 66 7 8 9 51 63 64 5 6 46 13 14 15 16 68 10 11 12 22 23 24 17 18 19 32 33 27 28 42 37 
60 37 65 66 46 47 35 69 13 12 55 56 44 45 21 22 19 20 62 63 53 54 1 31 32 28 29 30 67 68 61 3 4 41 42 38 39 40 70 17 7 8 9 51 52 48 49 50 26 27 14 15 16 59 57 58 2 36 23 24 25 64 5 6 33 34 10 11 43 18 
61 18 66 7 27 28 69 13 14 36 37 38 45 21 22 23 6 46 47 48 54 1 31 32 33 11 12 55 56 57 3 4 41 42 43 19 20 62 63 64 8 9 51 52 53 29 30 67 68 10 15 16 59 60 39 40 70 17 24 25 65 49 50 26 34 35 58 2 44 5 
62 51 30 67 16 59 39 40 70 24 25 65 48 49 50 26 33 34 35 69 56 57 58 2 36 42 43 44 45 21 63 64 5 6 46 52 53 54 1 31 68 10 11 12 55 60 61 3 4 41 17 18 19 20 66 7 8 9 27 28 29 13 14 15 37 38 22 23 47 32 
63 32 67 68 41 42 40 70 17 9 51 52 49 50 26 27 15 16 59 60 57 58 2 36 37 23 24 25 65 66 64 5 6 46 47 33 34 35 69 13 10 11 12 55 56 43 44 45 21 22 18 19 20 62 53 54 1 31 28 29 30 61 3 4 38 39 7 8 48 14 
64 14 68 10 22 23 70 17 18 31 32 33 50 26 27 28 4 41 42 43 58 2 36 37 38 8 9 51 52 53 5 6 46 47 48 15 16 59 60 61 11 12 55 56 57 24 25 65 66 7 19 20 62 63 34 35 69 13 29 30 67 44 45 21 39 40 54 1 49 3 
65 46 35 69 12 55 44 45 21 19 20 62 53 54 1 31 28 29 30 67 60 61 3 4 41 37 38 39 40 70 66 7 8 9 51 47 48 49 50 26 13 14 15 16 59 56 57 58 2 36 22 23 24 25 63 64 5 6 32 33 34 68 10 11 42 43 17 18 52 27 
66 27 69 13 36 37 45 21 22 6 46 47 54 1 31 32 11 12 55 56 61 3 4 41 42 18 19 20 62 63 7 8 9 51 52 28 29 30 67 68 14 15 16 59 60 38 39 40 70 17 23 24 25 65 48 49 50 26 33 34 35 57 58 2 43 44 64 5 53 10 
67 41 40 70 9 51 49 50 26 15 16 59 57 58 2 36 23 24 25 65 63 64 5 6 46 32 33 34 35 69 68 10 11 12 55 42 43 44 45 21 17 18 19 20 62 52 53 54 1 31 27 28 29 30 60 61 3 4 37 38 39 66 7 8 47 48 13 14 56 22 
68 22 70 17 31 32 50 26 27 4 41 42 58 2 36 37 8 9 51 52 64 5 6 46 47 14 15 16 59 60 10 11 12 55 56 23 24 25 65 66 18 19 20 62 63 33 34 35 69 13 28 29 30 67 43 44 45 21 38 39 40 53 54 1 48 49 61 3 57 7 
69 36 45 21 6 46 54 1 31 11 12 55 61 3 4 41 18 19 20 62 66 7 8 9 51 27 28 29 30 67 13 14 15 16 59 37 38 39 40 70 22 23 24 25 65 47 48 49 50 26 32 33 34 35 56 57 58 2 42 43 44 63 64 5 52 53 68 10 60 17 
70 31 50 26 4 41 58 2 36 8 9 51 64 5 6 46 14 15 16 59 68 10 11 12 55 22 23 24 25 65 17 18 19 20 62 32 33 34 35 69 27 28 29 30 67 42 43 44 45 21 37 38 39 40 52 53 54 1 47 48 49 60 61 3 56 57 66 7 63 13 
