Program started
Opened all dims file
PDS(96,20,4,4) SmGrp(96,174): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,134): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,221): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,4): None in Tri: 50000
PDS(100,18,8,2) SmGrp(100,5): None in Tri: 50000
PDS(100,18,8,2) SmGrp(100,6): 5 20 22 28 31 34 38 45 48 59 60 69 73 77 83 85 90 91 .Tri: 29
PDS(96,20,4,4) SmGrp(96,168): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,142): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,176): None in Tri: 46080
PDS(96,35,10,14) SmGrp(96,2): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,114): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,154): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,78): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,18): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,192): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,28): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,192): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,5): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,185): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,166): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,202): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,11): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,172): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,46): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,31): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,51): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,5): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,181): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,167): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,95): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,81): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,175): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,225): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,226): 1 7 13 14 21 30 33 35 37 40 45 54 59 63 65 70 71 73 89 94 .Tri: 150
PDS(96,20,4,4) SmGrp(96,227): 2 3 4 12 14 22 25 34 39 48 51 55 56 66 68 72 82 85 89 92 .Tri: 17
PDS(96,20,4,4) SmGrp(96,151): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,124): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,111): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,186): 3 4 13 19 22 27 39 43 44 55 57 62 69 74 78 79 80 84 95 .Tri: 208
PDS(96,19,2,4) SmGrp(96,141): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,85): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,140): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,166): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,135): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,136): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,8): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,179): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,152): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,38): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,159): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,21): None in Tri: 46080
PDS(88,27,6,9) SmGrp(88,5): None in Tri: 38720
PDS(96,19,2,4) SmGrp(96,185): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,52): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,169): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,156): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,135): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,143): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,180): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,215): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,193): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,8): None in Tri: 50000
PDS(100,18,8,2) SmGrp(100,9): 1 6 22 34 46 51 53 55 57 60 61 62 64 66 73 83 91 95 .Tri: 24
PDS(100,18,8,2) SmGrp(100,10): 11 15 22 25 31 38 39 43 46 63 67 72 73 75 79 86 88 94 .Tri: 342
PDS(96,19,2,4) SmGrp(96,222): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,155): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,195): 1 7 8 13 18 21 23 27 35 37 40 45 56 57 63 70 71 82 94 .Tri: 66
PDS(96,19,2,4) SmGrp(96,12): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,203): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,173): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,19): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,193): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,29): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,79): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,223): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,82): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,137): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,6): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,182): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,146): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,182): None in Tri: 46080
