Program started
Opened all dims file
PDS(64,14,6,2) SmGrp(64,171): 5 6 10 13 19 21 30 34 35 36 42 55 59 62 .Tri: 1124
PDS(64,14,6,2) SmGrp(64,83): 6 7 17 18 19 21 25 32 35 36 41 45 60 62 .Tri: 51
PDS(64,14,6,2) SmGrp(64,84): 4 6 10 13 17 18 20 21 29 31 51 52 53 55 .Tri: 80
PDS(64,14,6,2) SmGrp(64,85): 5 6 12 15 18 19 23 24 33 37 40 41 46 47 .Tri: 113
PDS(64,14,6,2) SmGrp(64,98): 1 5 6 10 14 18 28 32 37 38 40 50 53 56 .Tri: 654
PDS(64,14,6,2) SmGrp(64,99): 2 8 9 16 25 29 32 34 36 39 42 43 50 60 .Tri: 10
PDS(57,24,11,9) SmGrp(57,2): None in Tri: 16245
PDS(64,14,6,2) SmGrp(64,61): 1 4 5 6 10 11 14 18 21 31 35 39 54 62 .Tri: 11
PDS(64,14,6,2) SmGrp(64,62): 4 5 6 12 21 32 37 40 42 55 56 57 58 63 .Tri: 243
PDS(64,14,6,2) SmGrp(64,186): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,265): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,253): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,176): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,178): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,66): 6 14 16 19 20 21 26 27 28 37 39 52 61 62 .Tri: 142
PDS(64,14,6,2) SmGrp(64,67): 5 18 19 20 21 22 25 26 27 28 40 43 47 61 .Tri: 7
PDS(64,14,6,2) SmGrp(64,167): 7 9 10 12 19 27 32 33 41 44 45 49 52 57 .Tri: 405
PDS(64,14,6,2) SmGrp(64,248): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,20): 5 21 24 25 28 36 42 48 49 50 52 53 55 57 .Tri: 35
PDS(64,14,6,2) SmGrp(64,217): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,47): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,168): 5 6 21 25 28 41 42 45 48 53 54 57 58 63 .Tri: 166
PDS(64,14,6,2) SmGrp(64,201): 4 5 6 8 10 17 19 28 31 34 40 53 54 62 .Tri: 50
PDS(64,14,6,2) SmGrp(64,218): 5 6 9 15 17 30 32 37 39 40 48 52 56 61 .Tri: 122
PDS(64,14,6,2) SmGrp(64,103): 2 4 5 6 8 13 18 21 27 28 34 39 50 53 .Tri: 43
PDS(64,14,6,2) SmGrp(64,249): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,256): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,189): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,244): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,112): 2 5 6 17 20 21 33 36 42 56 57 58 62 63 .Tri: 50
PDS(64,14,6,2) SmGrp(64,21): 2 5 6 7 14 15 20 21 37 38 40 46 57 59 .Tri: 426
PDS(64,14,6,2) SmGrp(64,28): 2 4 10 13 14 20 22 23 25 28 42 49 51 55 .Tri: 69
PDS(64,14,6,2) SmGrp(64,181): 2 4 6 13 19 32 33 41 50 53 54 59 61 63 .Tri: 265
PDS(64,14,6,2) SmGrp(64,219): 1 3 6 8 11 12 18 19 20 21 28 52 53 54 .Tri: 141
PDS(64,14,6,2) SmGrp(64,152): None in Tri: 20480
PDS(64,14,6,2) SmGrp(64,266): None in Tri: 20480
